"","OSHPD_NUM","X1.x","Procedure Description","CPT_CODE_OR_OTHER","Top_25_Avg","Hospital_Name.x","X1.y","Hospital_Name.y","Freq","Full_Address","Address","City","State","Zip Code"
"1",90793,1393,"Emergency Room Visit, Level 2 (low to moderate severity)","99282",1144.79,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"2",90793,1394,"Emergency Room Visit, Level 3 (moderate severity)","99283",1604.97,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"3",90793,1395,"Emergency Room Visit, Level 4 (high severity without signigicant threat)","99284",3308.75,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"4",90793,1396,"Emergency Room Visit, Level 4 (high severity with significant threat)","99285",4771.15,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"5",90793,1397,"Outpatient Visit, established patient, 15 minutes","99213",395.24,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"6",90793,1399,"Basic Metabolic Panel","80048",400.31,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"7",90793,1401,"Complete Blood Count, automated","85027",272.23,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"8",90793,1402,"Complete Blood Count, with differential WBC, automated","85025",355.86,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"9",90793,1403,"Comprehensive Metabolic Panel","80053",378.98,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"10",90793,1404,"Creatine Kinase (CK), (CPK), Total","82550",298.9,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"11",90793,1405,"Lipid Panel","80061",298.9,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"12",90793,1406,"Partial Thromboplastin Time","85730",277.58,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"13",90793,1407,"Prothrombin Time","85610",145.89,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"14",90793,1408,"Thyroid Stimulating Hormone","84443",302.45,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"15",90793,1409,"Troponin, Quantitative","84484",446.59,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"16",90793,1410,"Urinalysis, without microscopy","81002 or 81003",86.76,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"17",90793,1413,"CT Scan, Abdomen, with contrast","74160",5257.34,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"18",90793,1414,"CT Scan, Head or Brain, without contrast","70450",4014.59,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"19",90793,1415,"CT Scan, Pelvis, with contrast","72193",5257.34,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"20",90793,1416,"Mammography, Screening, Bilateral","77067",680.96,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"21",90793,1417,"MRI, Brain, without contrast, followed by contrast","70553",7057.91,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"22",90793,1418,"Ultrasound, Abdomen, Complete","76700",2369.75,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"23",90793,1419,"Ultrasound, OB, 14 weeks or more, transabdominal","76805",1435.48,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"24",90793,1420,"X-Ray, Lower Back, minimum four views","72110",1235.75,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"25",90793,1421,"X-Ray, Chest, two views","71046",771.44,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"26",90793,1424,"Echocardiography, Transthoracic, complete, without Doppler","93307",2347.94,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"27",90793,1426,"Inhalation Treatment, pressurized or nonpressurized","94640",381.13,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"28",90793,1427,"Physical Therapy, Evaluation","97161-97163",399.16,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"29",90793,1428,"Physical Therapy, Gait Training","97116",204.61,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"30",90793,1429,"Physical Therapy, Therapeutic Exercise","97110",219.7,"Barton Memorial Hospital",42,"Barton Memorial Hospital",56,"2170 South Ave, South Lake Tahoe, CA","2170 South Ave","South Lake Tahoe","CA",96150
"31",90933,1449,"Emergency Room Visit, Level 2 (low to moderate severity)","99282",1169.36,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"32",90933,1450,"Emergency Room Visit, Level 3 (moderate severity)","99283",2074.33,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"33",90933,1451,"Emergency Room Visit, Level 4 (high severity without signigicant threat)","99284",2910.33,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"34",90933,1452,"Emergency Room Visit, Level 4 (high severity with significant threat)","99285",4075.5,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"35",90933,1455,"Basic Metabolic Panel","80048",117.04,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"36",90933,1456,"Blood Gas Analysis, including 02 saturation","82805",91.96,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"37",90933,1457,"Complete Blood Count, automated","85027",57.48,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"38",90933,1458,"Complete Blood Count, with differential WBC, automated","85025",65.84,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"39",90933,1459,"Comprehensive Metabolic Panel","80053",189.15,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"40",90933,1460,"Creatine Kinase (CK), (CPK), Total","82550",71.06,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"41",90933,1461,"Lipid Panel","80061",129.58,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"42",90933,1462,"Partial Thromboplastin Time","85730",66.88,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"43",90933,1463,"Prothrombin Time","85610",57.48,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"44",90933,1464,"Thyroid Stimulating Hormone","84443",142.12,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"45",90933,1465,"Troponin, Quantitative","84484",155.71,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"46",90933,1466,"Urinalysis, without microscopy","81003",50.16,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"47",90933,1467,"Urinalysis, with microscopy","81001",44.94,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"48",90933,1469,"CT Scan, Abdomen, with contrast","74160",4423.49,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"49",90933,1470,"CT Scan, Head or Brain, without contrast","70450",3097.38,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"50",90933,1471,"CT Scan, Pelvis, with contrast","72193",3856.05,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"51",90933,1472,"Mammography, Screening, Bilateral","77067",530.86,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"52",90933,1473,"MRI, Brain, without contrast, followed by contrast","70553",6039.06,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"53",90933,1474,"Ultrasound, Abdomen, Complete","76700",1499.58,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"54",90933,1475,"Ultrasound, OB, 14 weeks or more, transabdominal","76805",942.59,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"55",90933,1476,"X-Ray, Lower Back, minimum four views","72110",1361.64,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"56",90933,1477,"X-Ray, Chest, two views","71046",258.12,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"57",90933,1482,"Inhalation Treatment, pressurized or nonpressurized","94640",397.1,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"58",90933,1483,"Physical Therapy, Evaluation","97162",427.41,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
"59",90933,1484,"Physical Therapy, Gait Training","97116",226.77,"MARSHALL MEDICAL CENTER",150,"MARSHALL MEDICAL CENTER",56,"1100 Marshall Way, Placerville, CA","1100 Marshall Way","Placerville","CA",95667
