,CPT_CODE_OR_OTHER,Top_25_Avg,OSHPD_NUM,Hospital_Name
Evaluation & Management Services (CPT Codes 99201-99499),,,,
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,$799.84,106010735,Alameda Hospital
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$1,267.70",106010735,Alameda Hospital
"Emergency Room Visit, Level 4 (high severity)",99284,"$1,833.07",106010735,Alameda Hospital
"Outpatient Visit, established patient, 15 minutes",99213,$562.69,106010735,Alameda Hospital
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,,106010735,Alameda Hospital
Basic Metabolic Panel,80048,$218.87,106010735,Alameda Hospital
"Blood Gases, any Combination",82803,$580.76,106010735,Alameda Hospital
"Complete Blood Count, automated",85027,$158.82,106010735,Alameda Hospital
"Complete Blood Count, with differential WBC, automated",85025,$184.91,106010735,Alameda Hospital
Comprehensive Metabolic Panel,80053,$509.98,106010735,Alameda Hospital
"Creatine Kinase (CK), (CPK), Total",82550,$159.16,106010735,Alameda Hospital
Lipid Panel,80061,$290.36,106010735,Alameda Hospital
Partial Thromboplastin Time,85730,$11.24,106010735,Alameda Hospital
Prothrombin Time,85610,$95.14,106010735,Alameda Hospital
Thyroid Stimulating Hormone,84443,$329.62,106010735,Alameda Hospital
"Troponin, Quantitative",84484,$255.69,106010735,Alameda Hospital
"Urinalysis, without microscopy",81002 or 81003,$89.00,106010735,Alameda Hospital
BLOOD CULTURE FOR BACTERIA,87040,$405.47,106010735,Alameda Hospital
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,,106010735,Alameda Hospital
"CT Scan, Abdomen, with contrast",74160,"$4,107.00",106010735,Alameda Hospital
"CT Scan, Head or Brain, without contrast",70450,"$3,482.82",106010735,Alameda Hospital
"CT Scan, Pelvis, with contrast",72193,"$4,210.00",106010735,Alameda Hospital
"Mammography, Screening, Bilateral",77067,$523.85,106010735,Alameda Hospital
"MRI, Head or Brain, without contrast, followed by contrast",70553,"$7,558.00",106010735,Alameda Hospital
"Ultrasound, Abdomen, Complete",76700,"$1,356.29",106010735,Alameda Hospital
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,"$1,781.00",106010735,Alameda Hospital
"X-Ray, Lower Back, four views",72110,$727.20,106010735,Alameda Hospital
CT Angio ABD&PELV W/O & W/DYE,74174,"$7,820.86",106010735,Alameda Hospital
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,,106010735,Alameda Hospital
STRESS TTE ONLY,93350,"$5,161.00",106010735,Alameda Hospital
"TTE w/Doppler, Complete",93306,"$5,829.02",106010735,Alameda Hospital
CARDIOVASCULAR STRESS TEST,93017,"$2,346.34",106010735,Alameda Hospital
"Inhalation Treatment, pressurized or nonpressurized",94640,$352.31,106010735,Alameda Hospital
"Physical Therapy, Evaluation",97161,$700.98,106010735,Alameda Hospital
"Physical Therapy, Gait Training",97116,$284.28,106010735,Alameda Hospital
"Physical Therapy, Therapeutic Exercise",97110,$387.85,106010735,Alameda Hospital
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,,106010735,Alameda Hospital
DEB BONE ADD-ON,11047,"$5,859.28",106010735,Alameda Hospital
DEB SUBQ TISSUE ADD-ON,11045,"$4,367.59",106010735,Alameda Hospital
DEB BONE 20 SQ CM/<,11044,"$3,468.33",106010735,Alameda Hospital
DRAINAGE OF RECTAL ABSCESS,45005,"$1,126.13",106010735,Alameda Hospital
EGD REMOVE FOREIGN BODY,43247,"$2,752.00",106010735,Alameda Hospital
SKIN SUB GRAFT TRNK/ARM/LEG,15271,"$2,297.00",106010735,Alameda Hospital
ABD PARACENTESIS W/IMAGING,49083,"$2,891.00",106010735,Alameda Hospital
TREAT SHOULDER DISLOCATION,23655,"$2,546.00",106010735,Alameda Hospital
SKIN SUB GRAFT FACE/NK/HF/G,15275,"$2,462.80",106010735,Alameda Hospital
INCISION OF RECTAL ABSCESS,46040,"$2,417.00",106010735,Alameda Hospital
SKIN SUB GRAFT TRNK/ARM/LEG,15271,"$2,296.60",106010735,Alameda Hospital
EGD PLACE GASTROSTOMY TUBE,43246,"$2,585.00",106010735,Alameda Hospital
INSERT PICC CATH,36569,"$2,049.20",106010735,Alameda Hospital
ALT code removed,19083,"$2,123.10",106010735,Alameda Hospital
CL TX MONTEGGIA ELB FX W MANIP,24620,"$2,451.40",106010735,Alameda Hospital
DEB MUSC/FASCIA ADD-ON,11046,"$2,951.38",106010735,Alameda Hospital
"Emergency Room Visit, Level 2",99282,"1,077",106010739,Alta Bates Ashby Campus
"Emergency Room Visit, Level 3",99283,"2,060",106010739,Alta Bates Ashby Campus
"Emergency Room Visit, Level 4",99284,"3,490",106010739,Alta Bates Ashby Campus
Laboratory & Pathology Services (CPT Codes 80048-89356),2019 CPT Code,,106010739,Alta Bates Ashby Campus
Basic Metabolic Panel,80048,170,106010739,Alta Bates Ashby Campus
Comprehensive Metabolic Panel,80053,198,106010739,Alta Bates Ashby Campus
Lipid Panel,80061,224,106010739,Alta Bates Ashby Campus
"Creatine Kinase (CK), (CPK), Total",82550,130,106010739,Alta Bates Ashby Campus
"Blood Gas Analysis, including 02 saturation",82805,818,106010739,Alta Bates Ashby Campus
Thyroid Stimulating Hormone,84443,185,106010739,Alta Bates Ashby Campus
"Troponin, Quantitative",84484,381,106010739,Alta Bates Ashby Campus
"Complete Blood Count, with differential WBC, automated",85025,122,106010739,Alta Bates Ashby Campus
"Complete Blood Count, automated",85027,136,106010739,Alta Bates Ashby Campus
Prothrombin Time,85610,77,106010739,Alta Bates Ashby Campus
Partial Thromboplastin Time,85730,180,106010739,Alta Bates Ashby Campus
Uric acid; blood,84550,67,106010739,Alta Bates Ashby Campus
Magnesium,83735,119,106010739,Alta Bates Ashby Campus
"Lactate dehydrogenase (LD), (LDH)",83615,102,106010739,Alta Bates Ashby Campus
Iron binding capacity,83550,123,106010739,Alta Bates Ashby Campus
Iron,83540,87,106010739,Alta Bates Ashby Campus
Hemoglobin; glycosylated (A1C),83036,123,106010739,Alta Bates Ashby Campus
"Glucose; quantitative, blood (except reagent strip)",82947,61,106010739,Alta Bates Ashby Campus
Folic acid; serum,82746,148,106010739,Alta Bates Ashby Campus
Ferritin,82728,144,106010739,Alta Bates Ashby Campus
Cyanocobalamin (Vitamin B-12),82607,151,106010739,Alta Bates Ashby Campus
Creatinine; blood,82565,78,106010739,Alta Bates Ashby Campus
Amylase,82150,144,106010739,Alta Bates Ashby Campus
Autom Urine Dip W Micro,81001,66,106010739,Alta Bates Ashby Campus
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,,106010739,Alta Bates Ashby Campus
"CT Scan, Head or Brain, without contrast",70450,"3,294",106010739,Alta Bates Ashby Campus
"X-Ray, Chest, two views",71046,511,106010739,Alta Bates Ashby Campus
"X-Ray, Lumbo Sacral, four views",72110,858,106010739,Alta Bates Ashby Campus
"Screening mammography, bilateral (CAD) when performed",77067,475,106010739,Alta Bates Ashby Campus
"CT Scan, Pelvis, with contrast",72193,"3,723",106010739,Alta Bates Ashby Campus
"CT Scan, Abdomen, with contrast",74160,"3,595",106010739,Alta Bates Ashby Campus
"Ultrasound, Abdomen, Complete",76700,"1,312",106010739,Alta Bates Ashby Campus
"Ultrasound, OB, 14 weeks or more, single fetus, transabdominal",76805,"1,299",106010739,Alta Bates Ashby Campus
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,,106010739,Alta Bates Ashby Campus
Electrocardiogram 12 Lead Tracing Only,93005,261,106010739,Alta Bates Ashby Campus
"Echocardiography, complete",93307,"2,396",106010739,Alta Bates Ashby Campus
"Inhalation Treatment, pressurized or nonpressurized",94640,418,106010739,Alta Bates Ashby Campus
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,,106010739,Alta Bates Ashby Campus
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,"27,063",106010739,Alta Bates Ashby Campus
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106010739,Alta Bates Ashby Campus
Carpal Tunnel Surgery,64721,,106010739,Alta Bates Ashby Campus
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,"18,225",106010739,Alta Bates Ashby Campus
"Colonoscopy, diagnostic",45378,"4,487",106010739,Alta Bates Ashby Campus
"Colonoscopy, with biopsy",45380,"6,216",106010739,Alta Bates Ashby Campus
"Colonoscopy, with lesion removal, by snare technique",45385,"6,331",106010739,Alta Bates Ashby Campus
"Discission, secondary membranous cataract, laser surgery",66821,,106010739,Alta Bates Ashby Campus
"Endoscopy, Upper GI, with biopsy",43239,"6,989",106010739,Alta Bates Ashby Campus
"Endoscopy, Upper GI, diagnostic",43235,"5,115",106010739,Alta Bates Ashby Campus
"Excision, Breast Lesion",19120,"18,718",106010739,Alta Bates Ashby Campus
"Hernia Repair, Inguinal, 5 years and older",49505,"26,316",106010739,Alta Bates Ashby Campus
