,CPT_CODE_OR_OTHER,Procedure Description,Freq,Procedure_Group_Cat,Pro_Cat
1,10005,Fine Needle Aspiration with Imaging Guidance (#54),1,New Procedure,
2,10022,FNA W/IMAGE,1,New Procedure,
3,10060,Drainage of Skin Abscess,1,New Procedure,Drainage of Skin Abscess
4,10060,"INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); S",1,New Procedure,
5,11042,"DEBRIDEMENT; SKIN, AND SUBCUTANEOUS TISSUE",1,New Procedure,
6,11044,DEB BONE 20 SQ CM/<,1,New Procedure,
7,11045,DEB SUBQ TISSUE ADD-ON,1,New Procedure,
8,11046,DEB MUSC/FASCIA ADD-ON,1,New Procedure,
9,11047,DEB BONE ADD-ON,1,New Procedure,
10,12001,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 2.5 CM OR",1,New Procedure,SUPERFICIAL WOUNDS REPAIR
11,12002,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 2.6 CM TO",1,New Procedure,SUPERFICIAL WOUNDS REPAIR
12,12011,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.5 CM OR LESS",1,New Procedure,SUPERFICIAL WOUNDS REPAIR
13,12013,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.6 CM TO 5.0 CM",1,New Procedure,SUPERFICIAL WOUNDS REPAIR
14,15271,SKIN SUB GRAFT TRNK/ARM/LEG,2,New Procedure,SKIN SUB GRAFT
15,15275,SKIN SUB GRAFT FACE/NK/HF/G,1,New Procedure,SKIN SUB GRAFT
17,15823,Blepharoplasty upper eyelid with excessive skin weighting downlid,1,New Procedure,Blepharoplasty 
18,17250,"CHEMICAL CAUTERIZATION OF GRANULATION TISSUE (PROUD FLESH, SINUS OR FISTULA)",1,New Procedure,
19,19083,ALT code removed,1,New Procedure,
20,19083,BX Breast 1st Lesion US Imag,1,New Procedure,
21,19083,"Breast Biopsy w/Marker Plcmt,1st Lesion w/Ultrasound Guidance (#65)",1,New Procedure,Ultrasound
22,19120,Excision Procedures on the Breast,2,New Procedure,EXCISION/SURGERY
23,19120,"Excision, Breast Lesion",85,New Procedure,EXCISION/SURGERY
24,19120,"Excision, Breast Lesion, without preoperative radiological marker",183,New Procedure,EXCISION/SURGERY
25,19125,Excision Procedures on the Breast,2,New Procedure,EXCISION/SURGERY
26,19301,MASTECTOMY PARTIAL,1,New Procedure,MASTECTOMY
27,19301,"Mastectomy, partial",1,New Procedure,MASTECTOMY
28,19301,PARTIAL MASTECTOMY,1,New Procedure,MASTECTOMY
29,19303,MAST SIMPLE COMPLETE,1,New Procedure,MASTECTOMY
30,19303,MASTECTOMY SIMPLE COMPLETE,1,New Procedure,MASTECTOMY
